qid,base_cov,delta,attraction,n_poles,k,pole_baseline,pole_scout,pole_div_only,vendi_k_baseline,vendi_k_scout,d_vendi_k,mpc_baseline,mpc_scout,w_baseline,w_scout,modes_baseline,modes_scout,d_modes
1,0.0,0.0,0.08399921655654907,20,3,0.3700486719608307,0.45404788851737976,0.4257957339286804,2.463697910308838,2.1167602717876433,-0.34693763852119464,0.4573839008808136,0.5744848847389221,61,290,2.463697910308838,3.850409746170044,1.386711835861206
5,0.75,-0.5,0.02973109483718872,20,4,0.3664279580116272,0.3961590528488159,0.37441179156303406,2.8944127559661865,2.4239465832710265,-0.47046617269516,0.47998908162117004,0.6269574165344238,75,377,2.8944127559661865,3.4116146564483643,0.5172019004821777
7,0.5,-0.16670000000000001,0.018395036458969116,20,3,0.37292933464050293,0.39132437109947205,0.3862709403038025,2.2650368213653564,2.1136063992977143,-0.15143042206764212,0.5105255842208862,0.6081914901733398,58,335,2.2650368213653564,3.951422929763794,1.6863861083984375
8,0.5833,-0.08330000000000004,-0.01744207739830017,20,4,0.40388888120651245,0.3864468038082123,0.3980221152305603,2.0611960887908936,2.60711784362793,0.5459217548370363,0.7257111668586731,0.5596433877944946,90,341,2.061196804046631,3.533513069152832,1.4723162651062012
9,0.5,-0.5,0.002601712942123413,20,4,0.2762066423892975,0.2788083553314209,0.3617094159126282,3.1480369567871094,3.0252429008483888,-0.12279405593872061,0.41166678071022034,0.43151143193244934,74,311,3.148036241531372,5.2639265060424805,2.1158902645111084
16,0.5,0.16669999999999996,0.07889103889465332,20,4,0.29225462675094604,0.37114566564559937,0.30061522126197815,2.594079279899597,2.4464399814605713,-0.1476392984390258,0.5535176992416382,0.6229872703552246,122,244,3.0090723037719727,2.4464402198791504,-0.5626320838928223
17,0.5556,0.015800000000000036,0.05159556865692139,20,5,0.4609357714653015,0.5125313401222229,0.49906033277511597,3.4806435108184814,2.8703144431114196,-0.6103290677070619,0.4544675946235657,0.5840368866920471,118,468,3.4806435108184814,4.248510837554932,0.7678673267364502
19,0.8571,-0.5238,0.053779661655426025,20,4,0.3418462574481964,0.39562591910362244,0.46609145402908325,2.8962831497192383,2.5568519711494444,-0.3394311785697939,0.4987727403640747,0.6026508212089539,82,328,2.8962831497192383,3.8174099922180176,0.9211268424987793
20,0.4286,0.0,0.00813344120979309,24,5,0.45167702436447144,0.4598104655742645,0.5120756030082703,3.516399621963501,3.198141932487488,-0.3182576894760132,0.4682925343513489,0.5249097347259521,102,378,3.516399621963501,4.481679439544678,0.9652798175811768
23,0.3636,0.46970000000000006,0.07682627439498901,20,4,0.22705984115600586,0.3038861155509949,0.3401765823364258,2.9279325008392334,2.793828570842743,-0.13410392999649057,0.4792821705341339,0.5003102421760559,71,335,2.9279327392578125,4.659919738769531,1.7319869995117188
25,0.5,-0.16670000000000001,0.23272445797920227,20,3,0.2692411243915558,0.5019655823707581,0.43308672308921814,2.264587163925171,1.8499743044376373,-0.41461285948753357,0.5423768162727356,0.6975437998771667,67,379,2.264587163925171,2.5679516792297363,0.30336451530456543
26,0.6,-0.1714,0.1485300362110138,20,4,0.37740465998649597,0.5259346961975098,0.5077720880508423,3.0055363178253174,2.6512457609176634,-0.354290556907654,0.4432792663574219,0.5409796833992004,87,374,3.0055363178253174,3.942070960998535,0.9365346431732178
28,0.5,-0.5,0.11287146806716919,20,4,0.2860381603240967,0.39890962839126587,0.409027099609375,2.7419519424438477,2.788031005859375,0.046079063415527255,0.5101084113121033,0.5394979119300842,66,357,2.7419519424438477,4.5718770027160645,1.8299250602722168
29,0.5,-0.5,0.14755845069885254,20,3,0.47785425186157227,0.6254127025604248,0.6369778513908386,1.8067412376403809,1.9638516664505006,0.15711042881011972,0.7303196787834167,0.6708099246025085,90,293,1.8067412376403809,2.6724557876586914,0.8657145500183105
30,0.3333,0.06670000000000004,0.0009926557540893555,20,5,0.3106118142604828,0.31160447001457214,0.34166446328163147,3.0618919372558593,3.1307013750076296,0.06880943775177029,0.5334485769271851,0.48906323313713074,125,470,3.06189227104187,5.807048797607422,2.7451565265655518
88,0.0,0.25,-0.025775402784347534,20,3,0.41772034764289856,0.391944944858551,0.43942171335220337,2.1845033168792725,2.2734339952468874,0.08893067836761492,0.5696743130683899,0.5572197437286377,50,352,2.1845033168792725,3.9153096675872803,1.7308063507080078
177,0.4,0.6,-0.027262955904006958,20,4,0.3476497232913971,0.32038676738739014,0.3299337923526764,2.3956961631774902,2.1683919429779053,-0.22730422019958496,0.5819389224052429,0.6896829009056091,66,183,2.395695686340332,2.1683919429779053,-0.22730374336242676
298,0.5,0.09999999999999998,-0.00588536262512207,20,4,0.5022956132888794,0.4964102506637573,0.49557167291641235,2.7997958660125732,2.2808940410614014,-0.5189018249511719,0.5139033198356628,0.6666557788848877,69,218,2.7997958660125732,2.2808938026428223,-0.518902063369751
393,1.0,-0.19999999999999996,-0.016693979501724243,20,4,0.30193430185317993,0.2852403223514557,0.3087766766548157,3.269474983215332,2.9442814946174622,-0.3251934885978698,0.3893392086029053,0.4583111107349396,69,360,3.269474983215332,5.40951681137085,2.1400418281555176
405,1.0,-1.0,0.19980484247207642,20,3,0.3321272134780884,0.5319320559501648,0.5143330097198486,2.316128969192505,1.8723450243473052,-0.4437839448451997,0.5246427655220032,0.7101691365242004,51,260,2.316128969192505,2.125858783721924,-0.19027018547058105
519,0.4,-0.4,0.016215205192565918,20,,0.4469817876815796,0.4631969928741455,0.4274676442146301,,,,0.7620602250099182,0.5273775458335876,45,371,1.4403232336044312,4.509718418121338,3.0693951845169067
557,0.125,-0.125,0.3697022497653961,20,3,0.2946450412273407,0.6643472909927368,0.6542150378227234,2.422184944152832,2.0304337680339812,-0.3917511761188508,0.4694511890411377,0.6100447177886963,38,374,2.422184944152832,3.9380710124969482,1.5158860683441162
752,0.4,0.6,0.013906151056289673,20,,0.24365267157554626,0.25755882263183594,0.2699751555919647,,,,0.5948381423950195,0.5752003788948059,32,327,1.6552624702453613,4.396904945373535,2.741642475128174
